Report Generated on: *01 ноября 2023 (среда)*

-----------------------------------Memory Audit Script----------------------------------------

---------------------------General and Virtual Memory Overview -------------------------------


Memory Overview:
------------------------------------Memory Usage----------------------------------------------

  PID USER             %MEM      VSZ    RSS
20757 somaiyahsultani   1.1 409098240 191520
20868 somaiyahsultani   0.0 408228080   4800
20989 somaiyahsultani   1.1 498477392 180272
20992 somaiyahsultani   0.0 408836416   4784
21908 somaiyahsultani   0.1 408287888  24336
21934 somaiyahsultani   0.0 408696128   5488
21947 somaiyahsultani   1.5 414612496 248480
21950 somaiyahsultani   0.0 408197184   4000
21951 somaiyahsultani   0.1 408987328  10272
22206 somaiyahsultani   0.0 408210000   7552
22207 somaiyahsultani   0.0 408215616   3488
22265 somaiyahsultani   0.0 408209584   7392
22305 somaiyahsultani   0.0 408198208   3488
22366 somaiyahsultani   0.1 408299520  21024
22394 somaiyahsultani   0.2 408452112  40336
22396 somaiyahsultani   0.1 408074896   9552
22398 somaiyahsultani   0.0 408959296   4496
22399 somaiyahsultani   0.4 408978944  65152
22400 somaiyahsultani   0.1 408741696  19088
22401 somaiyahsultani   0.0 408817984   5312
22429 somaiyahsultani   0.1 409369920  18496
22430 somaiyahsultani   0.0 408958272   4848
22502 _locationd        0.0 408211104   6944
22749 somaiyahsultani   3.4 515722384 567504
24932 _netbios          0.0 408179136   5216
25077 somaiyahsultani   2.7 515619680 461040
25086 somaiyahsultani   1.1 410404512 185120
25104 somaiyahsultani   0.8 514861632 139440
25105 somaiyahsultani   0.3 514400848  49824
25106 somaiyahsultani   0.2 513836528  35072
25107 somaiyahsultani   0.1 409115968  15232
25147 somaiyahsultani   1.2 409980128 193808
25167 somaiyahsultani   0.1 408827200  11904
25180 somaiyahsultani   0.1 408264544  10448
25186 somaiyahsultani   0.1 408228384  20304
25188 somaiyahsultani   0.1 408241840  21648
25190 somaiyahsultani   0.1 408241376  18560
25148 root              0.0 408656720   7632
25149 somaiyahsultani   0.0 408690176   3808
25192 somaiyahsultani   0.0 408636656   1872
25193 root              0.0 408626864   2032

------------------------------Top Memory Usage By Process-------------------------------------



--------------------------------- Top Memory Usage By VM --------------------------------------


-------------------------------------Top Memory by User----------------------------------------



Report Generated on: *01 ноября 2023 (среда)*

-----------------------------------Memory Audit Script----------------------------------------

---------------------------General and Virtual Memory Overview -------------------------------


Memory Overview:
------------------------------------Memory Usage----------------------------------------------

  PID USER             %MEM      VSZ    RSS
    1 root              0.1 409088368  24816
  297 root              0.3 408405200  44496
  299 root              0.0 408266560   7888
  301 root              0.0 408053824   1152
  302 root              0.1 408382144  10256
  303 root              0.1 408278016  21632
  306 root              0.0 408276800   7824
  308 root              0.1 408268544  10480
  309 root              0.0 408047152    496
  310 root              0.0 408266400   7616
  311 _biome            0.0 408264512   5248
  313 root              0.0 408265072   3488
  315 root              0.0 408264096   1264
  320 root              0.0 408070256   1072
  324 root              0.3 408577232  42816
  325 _iconservices     0.0 408264352   2544
  326 root              0.0 408271600   5360
  327 root              0.0 408263888   3424
  330 root              0.1 408285472  21744
  331 root              0.0 408235792   2096
  334 root              0.0 408264320   2048
  335 root              0.1 408295936  13168
  336 root              0.1 408352640  10656
  337 root              0.1 408268784  13328
  338 _timed            0.0 408264448   4272
  339 _usbmuxd          0.0 408270928   2096
  340 root              0.0 408268272   6576
  341 root              0.0 408068560    160
  343 _locationd        0.1 408306928  19568
  345 root              0.0 408179744      0
  346 root              0.2 408292944  28032
  348 _distnote         0.0 408168944   2528
  349 root              0.0 408103040   1600
  350 root              0.2 408281312  27872
  352 root              0.0 408102464   2912
  353 root              0.0 408265584   4320
  354 root              0.0 408077360      0
  355 root              0.0 408823744   5488
  358 root              0.0 408233744   2896
  360 root              0.0 408265104   5840
  361 root              0.1 408266288  19056
  363 root              0.0 408200944    944
  364 root              0.2 408301248  30384
  365 _windowserver     1.5 412074768 246496
  368 root              0.1 408273712  12336
  370 somaiyahsultani   0.3 409952144  49680
  371 root              0.1 408273760  11056
  372 root              0.1 408287184  14288
  373 root              0.0 408178336   3328
  374 root              0.0 408266512   5008
  375 root              0.0 408257280   3344
  385 root              0.1 408277296  13856
  391 _analyticsd       0.1 408275264  11696
  393 root              0.2 408284352  25296
  415 _coreaudiod       0.5 409366512  87920
  426 _nsurlsessiond    0.1 408308032   9456
  427 root              0.0 408233696   2768
  428 root              0.0 408263936   4800
  431 root              0.1 408280048  22048
  432 _networkd         0.1 408276624  10864
  435 root              0.0 408263216   4816
  436 root              0.0 408168944    704
  440 _windowserver     0.0 408168944    704
  442 root              0.0 408264864   7120
  450 _coreaudiod       0.0 408168944    704
  451 _mdnsresponder    0.1 408278448  12864
  457 root              0.0 408264432   1728
  458 root              0.0 408264528   2416
  461 _cmiodalassistants  0.0 408168944    704
  462 _softwareupdate   0.1 412761008  16544
  464 root              0.0 408266320   3536
  465 root              0.0 408234000   3088
  467 _softwareupdate   0.0 408168944    704
  470 root              0.4 411922016  69392
  475 _spotlight        0.0 408168944    720
  487 _cmiodalassistants  0.1 408282368  10672
  488 root              0.0 408267216   4896
  489 _cmiodalassistants  0.0 408266384   4352
  490 root              0.0 408227456   2400
  494 root              0.0 408824752   2336
  496 root              0.1 408204528   9792
  500 root              0.2 408372992  33136
  501 root              0.5 408338976  75744
  503 root              0.0 408273584   3408
  506 _locationd        0.1 408308368  13408
  507 _locationd        0.0 408168944   1008
  514 root              0.0 408264176   4800
  516 _driverkit        0.0 408496816     80
  517 _driverkit        0.0 408529792   1600
  518 _appleevents      0.0 408264976   4672
  524 root              0.1 408272032  12192
  555 _nsurlsessiond    0.0 408168944    704
  561 root              0.0 408264576   5808
  566 root              0.0 408265392   5648
  567 root              0.0 408265312   7680
  568 _mysql            0.0 409758848   3424
  569 somaiyahsultani   0.0 408171552   4944
  571 root              0.0 408225904    464
  573 somaiyahsultani   0.1 408269344   8544
  577 somaiyahsultani   0.1 409658160  16096
  578 somaiyahsultani   0.2 408291888  35760
  579 somaiyahsultani   0.1 409793104  21536
  580 somaiyahsultani   0.1 408295984   8480
  581 root              0.1 408269920   8752
  582 somaiyahsultani   0.3 410070624  42112
  583 somaiyahsultani   0.1 408276128  10480
  584 somaiyahsultani   0.4 409920160  63968
  585 somaiyahsultani   0.1 409864608  17504
  586 somaiyahsultani   0.4 414500576  68848
  587 somaiyahsultani   0.0 408264384   5840
  590 somaiyahsultani   0.1 408263328   9872
  591 somaiyahsultani   0.1 408514192  20288
  592 somaiyahsultani   0.1 408266384  11632
  593 root              0.0 408271808   6208
  594 somaiyahsultani   0.0 408102944   1536
  595 somaiyahsultani   0.1 408277296  11648
  596 somaiyahsultani   0.0 408762272   8160
  597 somaiyahsultani   0.0 408270736   7696
  599 somaiyahsultani   0.1 408306544  14224
  600 somaiyahsultani   0.0 408265088   4528
  601 somaiyahsultani   0.0 408266064   7568
  602 root              0.1 408285872  15920
  603 somaiyahsultani   0.1 408266928  10192
  604 somaiyahsultani   0.1 408302368  22928
  605 somaiyahsultani   0.1 408273840  19744
  606 somaiyahsultani   0.0 408263776   6224
  607 somaiyahsultani   0.1 408276128  15168
  608 somaiyahsultani   0.1 408288112  14016
  609 somaiyahsultani   0.2 408323088  28912
  610 somaiyahsultani   0.2 408442224  30512
  612 somaiyahsultani   0.0 408242192   6528
  613 somaiyahsultani   0.0 408233536   6288
  614 _appleevents      0.0 408168944    704
  615 root              0.1 408242064   9408
  616 somaiyahsultani   0.1 408422176  14160
  617 somaiyahsultani   0.2 408300400  37760
  618 somaiyahsultani   0.1 408283392  17696
  619 somaiyahsultani   0.1 408273024  12656
  620 somaiyahsultani   0.1 408389792   9120
  621 somaiyahsultani   0.2 408414992  25312
  622 somaiyahsultani   0.1 408220096  12128
  623 somaiyahsultani   0.2 408290048  34336
  624 somaiyahsultani   0.1 408664608  10752
  625 somaiyahsultani   0.1 408284400  10624
  626 somaiyahsultani   0.2 408307712  30224
  627 somaiyahsultani   0.2 408374576  34336
  629 somaiyahsultani   0.1 408273600  15552
  630 somaiyahsultani   0.2 408304352  28416
  631 somaiyahsultani   0.1 408430224  17712
  632 root              0.0 408095984    112
  633 somaiyahsultani   0.0 408266608   7792
  634 somaiyahsultani   0.1 408276784   8720
  635 somaiyahsultani   0.0 408272256   2992
  638 somaiyahsultani   0.0 408266928   7616
  639 somaiyahsultani   0.0 409183456   6800
  640 somaiyahsultani   0.3 409885328  46592
  642 somaiyahsultani   0.1 408315312  17680
  643 somaiyahsultani   0.1 408479792  21584
  644 somaiyahsultani   0.1 408265776   8496
  645 somaiyahsultani   0.0 408287488   1232
  646 somaiyahsultani   0.2 408292800  33504
  647 somaiyahsultani   0.1 408276144  13024
  648 somaiyahsultani   0.3 408300560  44832
  649 somaiyahsultani   0.1 408220992  12848
  652 somaiyahsultani   0.0 408267424   6256
  654 somaiyahsultani   0.1 409766928  10272
  656 somaiyahsultani   0.0 408264064   2384
  657 somaiyahsultani   0.0 408268512   2928
  659 somaiyahsultani   0.2 408347408  37392
  660 somaiyahsultani   0.1 409697456  21264
  661 somaiyahsultani   0.1 408268416  13216
  662 somaiyahsultani   0.1 408269120  21296
  663 somaiyahsultani   0.0 408211520   7520
  665 somaiyahsultani   0.1 409865520  17072
  667 somaiyahsultani   0.1 408266224  10080
  669 root              0.0 408233584   1968
  670 somaiyahsultani   0.1 408270416  14288
  671 somaiyahsultani   0.8 408640304 135104
  672 somaiyahsultani   0.1 408279568   9856
  673 somaiyahsultani   0.3 408824800  44624
  675 somaiyahsultani   0.0 408234736   2880
  677 somaiyahsultani   0.1 408317120  13200
  678 somaiyahsultani   0.1 408799184  17088
  679 somaiyahsultani   0.0 408272320   5904
  680 somaiyahsultani   0.0 408264304   4304
  681 somaiyahsultani   0.0 408103072   3344
  682 somaiyahsultani   0.0 408263872   5584
  684 _oahd             0.0 408508672    512
  685 somaiyahsultani   0.1 408273104  10080
  686 somaiyahsultani   0.1 408265424   8544
  688 _nearbyd          0.0 408271184   7184
  689 somaiyahsultani   0.1 409837056  12064
  690 somaiyahsultani   0.1 408275152  12976
  691 somaiyahsultani   1.0 411663488 163104
  693 somaiyahsultani   0.1 408292128   9424
  695 _fpsd             0.0 408104912   3488
  696 somaiyahsultani   0.0 408242448   7552
  697 somaiyahsultani   0.7 409553280 118480
  699 somaiyahsultani   0.1 408279872  17632
  702 somaiyahsultani   0.1 408422016  21296
  704 somaiyahsultani   0.1 408314288  13088
  705 somaiyahsultani   0.1 408274176  12784
  708 somaiyahsultani   0.1 408319312  15120
  709 somaiyahsultani   0.1 408313728  20704
  711 somaiyahsultani   0.1 408273424  12128
  713 somaiyahsultani   0.2 412747808  25632
  715 somaiyahsultani   0.1 409766624   8816
  717 root              0.0 408281760   7536
  718 somaiyahsultani   0.1 408263728   8608
  719 somaiyahsultani   0.0 408102384   2448
  720 somaiyahsultani   0.1 408275376  14192
  721 somaiyahsultani   0.1 409642992  16272
  722 somaiyahsultani   0.1 408271712   9056
  723 somaiyahsultani   0.2 408437024  32608
  724 root              0.0 408263728   4272
  725 somaiyahsultani   0.2 408516304  35200
  726 somaiyahsultani   0.4 408349392  68880
  727 somaiyahsultani   0.2 408418320  35664
  728 somaiyahsultani   0.1 408312816  21456
  730 somaiyahsultani   0.2 408341632  25392
  734 somaiyahsultani   0.1 408276640  24592
  735 somaiyahsultani   0.1 409657152  12832
  736 somaiyahsultani   0.0 408264784   6032
  737 somaiyahsultani   0.0 408283968   8272
  739 somaiyahsultani   0.0 408233856   2960
  740 somaiyahsultani   0.0 408265248   7504
  741 somaiyahsultani   0.0 408263728   5280
  743 somaiyahsultani   0.0 408264672   7088
  744 root              0.1 408280912   9616
  746 somaiyahsultani   1.7 410107248 283344
  748 somaiyahsultani   0.1 408301584  16208
  749 root              0.0 408208464    304
  750 somaiyahsultani   0.0 408234048   2224
  753 somaiyahsultani   0.1 408430416  12256
  754 somaiyahsultani   0.1 408296480  11456
  759 somaiyahsultani   0.0 409661328   7648
  762 somaiyahsultani   0.0 408263808   2432
  763 somaiyahsultani   0.0 408268496   8384
  765 root              0.0 408264288   6816
  768 root              0.0 408265456   4528
  772 somaiyahsultani   0.1 408272784  10784
  778 root              0.0 408592720   1184
  779 _gamecontrollerd  0.0 408168944    704
  781 somaiyahsultani   0.1 408281952  15024
  782 root              0.0 408102960   2496
  784 somaiyahsultani   0.2 412723392  27584
  785 somaiyahsultani   0.0 408263856   4048
  786 root              0.1 408434368   9856
  787 somaiyahsultani   0.1 408308608  19232
  788 somaiyahsultani   0.3 408399504  42320
  789 somaiyahsultani   0.0 408235072   2800
  791 root              0.0 408264224   6336
  792 root              0.0 408266016   5056
  793 _applepay         0.0 408168944    704
  796 somaiyahsultani   0.0 408265120   4304
  802 somaiyahsultani   0.0 408257008   5424
  805 somaiyahsultani   0.0 408267856   5248
  810 somaiyahsultani   0.1 408408336  12736
  811 somaiyahsultani   0.1 408268832   8816
  812 somaiyahsultani   0.0 408234224   1936
  814 somaiyahsultani   0.0 408264672   5072
  815 somaiyahsultani   0.0 408271120   5856
  817 somaiyahsultani   0.1 408271968  14992
  818 somaiyahsultani   0.0 408553248   4592
  821 somaiyahsultani   0.0 408132560   3584
  823 _accessoryupdater  0.0 408168944    720
  831 somaiyahsultani   0.0 408233440   2976
  832 _softwareupdate   0.1 412919456   8496
  833 somaiyahsultani   0.1 409698720  11248
  840 somaiyahsultani   0.1 412918560  12192
  847 root              0.0 409641264   1264
  852 somaiyahsultani   0.1 408267520  10704
  854 somaiyahsultani   0.1 408274288   8896
  855 somaiyahsultani   0.0 408217328   6864
  858 _fpsd             0.0 408207120   5200
  859 root              0.0 408084192   1824
  860 root              0.0 408211888   7008
  862 _assetcache       0.0 408168944    704
  866 somaiyahsultani   0.0 409659376   7232
  871 somaiyahsultani   0.1 408564976   9312
  872 somaiyahsultani   0.1 408277408  13632
  873 somaiyahsultani   0.1 408274912  16624
  874 somaiyahsultani   0.1 408322096  21168
  876 somaiyahsultani   0.2 408334160  34656
  877 somaiyahsultani   0.0 408268208   6784
  886 somaiyahsultani   0.0 408267136   6064
  905 root              0.0 408047712   1200
  908 somaiyahsultani   0.1 412833296   9328
  913 somaiyahsultani   0.1 408229344  13424
  914 root              0.0 408178176   2048
  917 somaiyahsultani   0.1 408265344   9520
  933 _spotlight        0.0 408222496   5792
  951 somaiyahsultani   0.1 408510096  21056
  953 somaiyahsultani   0.1 408271104  13104
  960 somaiyahsultani   0.1 409693808  13712
  962 somaiyahsultani   0.0 409324672   3072
  964 somaiyahsultani   0.2 408285760  26848
  966 somaiyahsultani   0.0 408234080   4928
  969 _rmd              0.0 408168944    704
  978 root              0.0 408208832   4224
  979 somaiyahsultani   0.2 408416688  39776
  982 somaiyahsultani   0.1 408272352  10832
  985 somaiyahsultani   0.0 408255936   3616
 1008 somaiyahsultani   0.0 408209120   7520
 1016 _fpsd             0.1 408307664  24400
 1019 somaiyahsultani   0.1 413780096  18336
 1047 root              0.0 408075344   1600
 1141 root              0.1 408294144  16352
 1174 somaiyahsultani   0.0 408209456   4880
 1207 somaiyahsultani   0.2 408357056  26672
 1424 somaiyahsultani   0.1 408316384  10336
 1711 somaiyahsultani   0.1 409345120  15088
 1959 somaiyahsultani   0.0 408264704   7568
 1988 root              0.0 408269440   4640
 1989 _accessoryupdater  0.0 408266768   4496
 1990 _accessoryupdater  0.0 408802528   4096
 1991 somaiyahsultani   0.1 408343280  20544
 2000 root              0.0 408103136   2976
 2035 somaiyahsultani   0.0 408283360   4928
 2036 somaiyahsultani   0.0 408107984   1904
 2041 somaiyahsultani   0.1 412786752  10800
 2166 somaiyahsultani   0.0 408207536   1408
 2181 _accessoryupdater  0.0 408263488   3984
 2190 somaiyahsultani   0.0 408283440   5424
 2191 somaiyahsultani   0.1 408321328   9120
 2210 root              0.0 408255616    976
 2312 somaiyahsultani   0.1 408273088  14368
 2446 somaiyahsultani   0.1 408310192  15104
 3523 somaiyahsultani   0.0 408281952   8064
 3546 somaiyahsultani   0.1 408308832  14896
 3835 somaiyahsultani   0.0 408264080   2656
 3896 somaiyahsultani   0.0 408086656   1408
 3904 somaiyahsultani   0.0 408266720   3952
 3905 somaiyahsultani   0.0 408264432   2720
 3941 somaiyahsultani   0.0 408210816   3760
 3961 _spotlight        0.0 408207840    736
 3964 root              0.0 408264272   3312
 3965 root              0.0 408265568   1200
 4096 root              0.0 408233696   2176
 4097 root              0.0 408102944   1216
 4098 root              0.0 408233456    848
 4099 somaiyahsultani   0.0 408266736   2896
 4100 somaiyahsultani   0.0 408086560   1024
 4105 root              0.0 408268544   3328
 4117 somaiyahsultani   0.0 408264368   1280
 4136 _hidd             0.0 408102400   1408
 4142 root              0.0 408102976   2000
 4145 somaiyahsultani   0.0 408132496   1488
 4156 somaiyahsultani   0.1 408280240  10400
 4177 _applepay         0.0 408269968   6416
 4178 _assetcache       0.0 408265872   3104
 4179 root              0.0 408213120    944
 4193 root              0.0 408233728    448
 4194 somaiyahsultani   0.1 408300864  11664
 4220 somaiyahsultani   0.0 408261312   8304
 4223 root              0.0 408047056      0
 4281 somaiyahsultani   0.0 408216080   1968
 4293 root              0.0 408667552   2464
 4302 somaiyahsultani   0.0 408233552   3632
 4326 root              0.0 408059024   3376
 4339 root              0.1 408284448  11936
 4340 root              0.0 408194112   2208
 4341 root              0.0 408184544   1520
 4403 root              0.0 408052880    864
 4441 somaiyahsultani   0.0 408229360   8256
 4500 somaiyahsultani   0.0 408094768   2624
 4507 somaiyahsultani   0.0 408078544   1072
 4823 root              0.0 408248976   2224
 4824 somaiyahsultani   0.0 408845040   3488
 4946 root              0.0 408267984   3200
 4947 root              0.0 408213504   2208
 4970 root              0.0 409115952   1024
 5023 somaiyahsultani   0.0 408237808    928
 5276 somaiyahsultani   0.0 408264480   3216
 5307 root              0.0 408234048    720
 5312 somaiyahsultani   0.0 409196112   5952
 5313 somaiyahsultani   0.0 408271104   2640
 5317 root              0.0 408047264   1216
 5319 somaiyahsultani   0.0 408830576   2416
 5332 root              0.0 408047952      0
 5334 root              0.0 408199552   1616
 5375 root              0.0 409219968   3248
 5378 somaiyahsultani   0.0 408267472   7760
 5379 _accessoryupdater  0.0 408208608   1648
 5380 root              0.0 408264704   4880
 5381 somaiyahsultani   0.0 408091904   2256
 5383 somaiyahsultani   0.0 408230960   3152
 5384 _rmd              0.0 408211168   1376
 5385 root              0.0 408039456    208
 5386 somaiyahsultani   0.0 408229600   3792
 5387 somaiyahsultani   0.0 408211184   1344
 5417 _rmd              0.0 408637552      0
 5420 somaiyahsultani   0.0 408637552      0
 5441 somaiyahsultani   0.0 408768624      0
 5442 _rmd              0.0 408768624      0
 5455 _rmd              0.0 408637552      0
 5456 somaiyahsultani   0.0 408637552      0
 5474 _rmd              0.0 408637744      0
 5475 somaiyahsultani   0.0 408693040   2528
 5476 _rmd              0.0 408667312   1120
 5477 somaiyahsultani   0.0 408667328   1136
 5479 root              0.0 408257040   2544
 5494 somaiyahsultani   0.0 408198224   1072
 5495 somaiyahsultani   0.0 408133904   4592
 5496 somaiyahsultani   0.0 409218960   6416
 5497 somaiyahsultani   0.0 408245520   7984
 5499 root              0.0 408217664   1456
 5500 _accessoryupdater  0.0 408263632   2688
 5501 _accessoryupdater  0.0 408212544   2224
 5516 somaiyahsultani   0.1 408243808   8928
 5517 root              0.0 408048352   1760
 5518 _gamecontrollerd  0.0 408265024   5792
 5519 _gamecontrollerd  0.0 408799216   3056
 5520 somaiyahsultani   0.0 408234064   1344
 5527 _softwareupdate   0.0 408211232   2592
 5528 root              0.0 408079024   1008
 5529 root              0.0 408077408   1472
 5534 somaiyahsultani   0.0 408047088   1616
 5537 root              0.0 408211728    768
 5539 _softwareupdate   0.0 408225856   1056
 5545 root              0.0 408178160   1104
 5546 root              0.0 408039456    208
 5566 root              0.0 408047648      0
 5599 _datadetectors    0.0 408178160   1760
 5965 root              0.2 408266128  26048
 6217 _applepay         0.0 408246048   7104
 6525 root              0.0 408215472   3296
 6599 somaiyahsultani   0.0 408398976   3248
 6688 _captiveagent     0.0 408264640   3488
 7031 _softwareupdate   0.0 408505552      0
 7035 _assetcache       0.0 408260880   5616
 7036 _nsurlsessiond    0.0 408826960   4864
 7040 _softwareupdate   0.0 408215936   3968
 7041 root              0.0 408801168   3568
 7168 root              0.0 408206960   2608
 7263 somaiyahsultani   0.0 408066624   2128
 7679 somaiyahsultani   0.1 412729424   8752
 7714 somaiyahsultani   0.0 408282768   7520
 7715 somaiyahsultani   0.0 408966464    976
 7717 somaiyahsultani   0.1 408325808   9136
 7718 somaiyahsultani   0.0 408827200    976
 7742 root              0.0 408211616   4720
 7786 somaiyahsultani   0.0 408233552   7808
 7793 somaiyahsultani   0.0 408178784   2048
 8019 root              0.0 408086560   1056
 8068 somaiyahsultani   0.0 408409872   2336
 8388 somaiyahsultani   0.1 408277712  11504
 8440 somaiyahsultani   0.0 409249360   2048
 8469 somaiyahsultani   0.0 408506832    336
 8592 root              0.0 408207440    832
 8752 _accessoryupdater  0.0 408077520    944
 8867 somaiyahsultani   0.0 408254832   7408
 9090 somaiyahsultani   0.0 408233584   3520
 9093 somaiyahsultani   1.7 415958128 289072
 9095 somaiyahsultani   0.9 413883472 147840
 9096 somaiyahsultani   0.0 408234048      0
 9097 somaiyahsultani   0.0 408897232   5984
 9098 somaiyahsultani   0.1 408945808  21904
 9101 somaiyahsultani   0.3 409013184  51200
 9103 somaiyahsultani   0.1 408884288  18080
 9112 somaiyahsultani   0.0 408274016   4144
 9123 somaiyahsultani   0.0 408246000    880
 9132 somaiyahsultani   0.0 408265008   6256
 9141 somaiyahsultani   0.1 408322912  19680
 9236 somaiyahsultani   0.0 408264432   3152
 9269 somaiyahsultani   1.5 414561056 253696
 9271 somaiyahsultani   0.0 408188992      0
 9275 somaiyahsultani   0.1 409093904  10464
 9592 root              0.0 408239488   2064
11446 somaiyahsultani   0.0 409690416   8272
12033 _nsurlsessiond    0.0 408234128   1440
12452 root              0.0 408066080      0
12477 root              0.0 408234672   4160
12478 somaiyahsultani   0.0 408235696   4480
12557 somaiyahsultani   0.0 408208448      0
13179 somaiyahsultani   1.3 415142544 224000
13181 somaiyahsultani   0.2 497853456  28816
13182 somaiyahsultani   0.0 408217664      0
13184 somaiyahsultani   0.0 412690704   6960
13188 somaiyahsultani   0.4 514853584  68144
13211 somaiyahsultani   0.0 408844608   1008
13212 somaiyahsultani   0.0 408938000      0
13215 somaiyahsultani   0.0 409247040    992
13216 somaiyahsultani   0.0 409115968   1040
13217 somaiyahsultani   0.0 408224832      0
13218 somaiyahsultani   0.0 408206400      0
13738 somaiyahsultani   0.3 408984496  55104
13739 somaiyahsultani   0.0 408742272   7872
14015 somaiyahsultani   0.0 408227568    864
14421 root              0.0 408247024    464
14458 somaiyahsultani   0.0 408975680   1024
14463 somaiyahsultani   0.0 408075392    640
15416 somaiyahsultani   0.7 413843520 112208
15431 somaiyahsultani   0.0 408680064      0
15432 somaiyahsultani   0.0 409082176      0
15433 somaiyahsultani   0.0 408679024      0
15440 somaiyahsultani   0.0 408338496      0
15453 somaiyahsultani   0.1 408941968  16624
15454 somaiyahsultani   0.0 408741712   7248
15465 somaiyahsultani   0.0 409247040   1008
15470 somaiyahsultani   0.0 408851968   1072
15546 somaiyahsultani   0.0 408264912   6768
15677 root              0.0 408268400    912
16467 somaiyahsultani   0.3 408396752  44320
16891 somaiyahsultani   0.0 408237808    912
16931 somaiyahsultani   0.0 409097536   1024
17123 somaiyahsultani   1.1 410089888 184608
17124 somaiyahsultani   0.1 408915792  15280
17125 somaiyahsultani   0.0 408741696   7264
17176 somaiyahsultani   0.0 408636656      0
17183 somaiyahsultani   0.0 408496576      0
17193 somaiyahsultani   0.0 408636656      0
17199 somaiyahsultani   0.0 408505792      0
17201 somaiyahsultani   0.0 408646896      0
17207 somaiyahsultani   0.0 408505792      0
17209 somaiyahsultani   0.0 408655088      0
17211 somaiyahsultani   0.0 408507840      0
17219 somaiyahsultani   0.0 408644848      0
17225 somaiyahsultani   0.0 408508864      0
17227 somaiyahsultani   0.0 408636656      0
17233 somaiyahsultani   0.0 408507840      0
17235 somaiyahsultani   0.0 408645872      0
17237 somaiyahsultani   0.0 408506816      0
17247 somaiyahsultani   0.0 408645872      0
17253 somaiyahsultani   0.0 408498624      0
17255 somaiyahsultani   0.0 408637680      0
17261 somaiyahsultani   0.0 408517056      0
17263 somaiyahsultani   0.0 408636656      0
17265 somaiyahsultani   0.0 408506816      0
17273 somaiyahsultani   0.0 408627440      0
17278 somaiyahsultani   0.0 408506816      0
17365 somaiyahsultani   0.0 408636656      0
17370 somaiyahsultani   0.0 408506816      0
17378 somaiyahsultani   0.0 408645872      0
17384 somaiyahsultani   0.0 408516032      0
17386 somaiyahsultani   0.0 408644848      0
17392 somaiyahsultani   0.0 408515008      0
17394 somaiyahsultani   0.0 408646896      0
17396 somaiyahsultani   0.0 408515008      0
17481 somaiyahsultani   0.0 408637680      0
17487 somaiyahsultani   0.0 408507840      0
17489 somaiyahsultani   0.0 408637680      0
17495 somaiyahsultani   0.0 408523200      0
17497 somaiyahsultani   0.0 408637680      0
17499 somaiyahsultani   0.0 408506816      0
17515 somaiyahsultani   0.0 408656112      0
17516 somaiyahsultani   0.0 408645872      0
17517 somaiyahsultani   0.0 408637680      0
17520 somaiyahsultani   0.0 408506816      0
17521 somaiyahsultani   0.0 408505792      0
17525 somaiyahsultani   0.0 408505792      0
17537 somaiyahsultani   0.0 408628464      0
17538 somaiyahsultani   0.0 408636656      0
17544 somaiyahsultani   0.0 408507840      0
17547 somaiyahsultani   0.0 408525248      0
17549 somaiyahsultani   0.0 408639728      0
17551 somaiyahsultani   0.0 408505792      0
17559 somaiyahsultani   0.0 408636656      0
17565 somaiyahsultani   0.0 408507840      0
17567 somaiyahsultani   0.0 408646896      0
17573 somaiyahsultani   0.0 408506816      0
17575 somaiyahsultani   0.0 408646896      0
17577 somaiyahsultani   0.0 408513984      0
17584 somaiyahsultani   0.0 408645872      0
17588 somaiyahsultani   0.0 408636656      0
17592 somaiyahsultani   0.0 408636656      0
17606 somaiyahsultani   0.0 408506816      0
17607 somaiyahsultani   0.0 408507840      0
17608 somaiyahsultani   0.0 408498624      0
17617 somaiyahsultani   0.0 408628464      0
17623 somaiyahsultani   0.0 408506816      0
17631 somaiyahsultani   0.0 408645872      0
17637 somaiyahsultani   0.0 408505792      0
17639 somaiyahsultani   0.0 408637680      0
17645 somaiyahsultani   0.0 408505792      0
17647 somaiyahsultani   0.0 408637680      0
17649 somaiyahsultani   0.0 408496576      0
17658 somaiyahsultani   0.0 408636656      0
17664 somaiyahsultani   0.0 408506816      0
17666 somaiyahsultani   0.0 408636656      0
17672 somaiyahsultani   0.0 408497600      0
17674 somaiyahsultani   0.0 408628464      0
17676 somaiyahsultani   0.0 408506816      0
17683 somaiyahsultani   0.0 408627440      0
17687 somaiyahsultani   0.0 408627440      0
17691 somaiyahsultani   0.0 408636656      0
17704 somaiyahsultani   0.0 408506816      0
17705 somaiyahsultani   0.0 408505792      0
17708 somaiyahsultani   0.0 408515008      0
17715 somaiyahsultani   0.0 408636656      0
17719 somaiyahsultani   0.0 408637680      0
17728 somaiyahsultani   0.0 408505792      0
17729 somaiyahsultani   0.0 408516032      0
17928 somaiyahsultani   0.0 408209136    976
18622 somaiyahsultani   0.6 410442752  99840
18623 somaiyahsultani   0.2 408974112  30672
18624 somaiyahsultani   0.0 408742720   7632
18625 somaiyahsultani   0.0 408255216    880
18633 somaiyahsultani   0.0 408247680   2576
18698 root              0.0 408218016   5904
18885 somaiyahsultani   0.0 408856448   2208
18886 somaiyahsultani   0.0 408270832   1024
18887 somaiyahsultani   0.0 408198208      0
18921 somaiyahsultani   0.0 408265024   3328
